"times","protein"
"NP_660208",77,"NP_660208"
"NP_005970",76,"NP_005970"
"NP_004453",75,"NP_004453"
"NP_004522",72,"NP_004522"
"NP_001258898",69,"NP_001258898"
"NP_001160163",69,"NP_001160163"
"NP_003767",69,"NP_003767"
"NP_542785",68,"NP_542785"
"NP_060866",59,"NP_060866"
"NP_004388",58,"NP_004388"
"NP_002005",54,"NP_002005"
"NP_004439",44,"NP_004439"
"NP_653081",44,"NP_653081"
"NP_001135891",44,"NP_001135891"
"NP_061170",42,"NP_061170"
"NP_653304",41,"NP_653304"
"NP_072096",40,"NP_072096"
"NP_004243",39,"NP_004243"
"NP_038479",34,"NP_038479"
"NP_003212",32,"NP_003212"
"NP_005484",29,"NP_005484"
"NP_848597",29,"NP_848597"
"NP_003875",28,"NP_003875"
"XP_003846537",27,"XP_003846537"
"NP_001171551",27,"NP_001171551"
"NP_002677",27,"NP_002677"
"NP_003144",23,"NP_003144"
"NP_001229372",22,"NP_001229372"
"NP_005130",22,"NP_005130"
"NP_057164",22,"NP_057164"
"NP_071739",21,"NP_071739"
"NP_579899",20,"NP_579899"
"NP_940869",18,"NP_940869"
"NP_001035492",18,"NP_001035492"
"NP_005226",16,"NP_005226"
"NP_060337",16,"NP_060337"
"NP_055644",15,"NP_055644"
"NP_056513",15,"NP_056513"
"NP_001186745",15,"NP_001186745"
"NP_004499",15,"NP_004499"
"NP_660344",15,"NP_660344"
"NP_065821",14,"NP_065821"
"NP_001257810",14,"NP_001257810"
"NP_006627",13,"NP_006627"
"NP_001186744",13,"NP_001186744"
"NP_006345",13,"NP_006345"
"NP_579917",13,"NP_579917"
"NP_060182",13,"NP_060182"
"NP_899229",13,"NP_899229"
"NP_001371",12,"NP_001371"
